Measured Voltage,ref,ewe,ece
-8.98788980E+00,0,-29512,-29510
-7.98836410E+00,0,-26231,-26229
-6.98902800E+00,0,-22950,-22948
-5.98980860E+00,0,-19670,-19667
-4.99057680E+00,0,-16390,-16387
-3.99058580E+00,0,-13107,-13103
-2.99042590E+00,0,-9824,-9819
-1.99034150E+00,0,-6541,-6536
-9.90907520E-01,0,-3260,-3255
-4.49309780E-01,0,-1482,-1477
+8.25104100E-03,0,19,24
+4.66129500E-01,0,1523,1527
+1.00763560E+00,0,3301,3305
+2.00738070E+00,0,6583,6587
+3.00747060E+00,0,9866,9871
+4.00697680E+00,0,13147,13152
+5.00640520E+00,0,16428,16434
+6.00578920E+00,0,19708,19714
+7.00495250E+00,0,22988,22995
+8.00405960E+00,0,26268,26275
+9.00346270E+00,0,29549,29556
